Total Fat (g),Trans Fat (g),Saturated Fat (g),Sodium (mg),Total Carbohydrates (g),Cholesterol (mg),Dietary Fibre (g),Sugars (g),Protein (g),Caffeine (mg),Caffeine (mg)_was_missing,Total Fat (g)_was_missing
0.1,0.1,0.0,5,70,19,0,18,6.0,75.0,0,0
0.0,0.0,0.0,0,15,3,0,0,1.0,225.0,0,0
0.0,0.0,0.0,0,25,89,0,83,0.0,0.0,0,0
8.0,4.0,0.2,30,180,57,1,55,14.0,80.0,0,0
1.0,0.3,0.0,5,120,54,6,37,16.0,15.0,0,0
4.0,2.0,0.1,15,100,12,0,10,8.0,150.0,0,0
3.0,2.0,0.0,10,180,63,2,55,18.0,30.0,0,0
0.2,0.1,0.0,5,110,39,0,39,9.0,75.0,0,0
2.0,0.5,0.0,0,150,40,1,38,3.0,70.0,0,0
5.0,2.5,0.0,0,110,28,1,25,6.0,75.0,0,0
0.0,0.0,0.0,0,10,2,0,0,1.0,150.0,0,0
1.0,0.5,0.0,5,300,80,1,76,7.0,140.0,0,0
0.2,0.1,0.0,5,85,31,0,31,7.0,0.0,0,0
9.0,6.0,0.1,20,200,46,0,44,11.0,75.0,0,0
2.0,1.0,0.1,10,50,15,0,15,3.0,0.0,0,0
11.0,6.0,0.2,30,180,53,2,43,17.0,180.0,0,0
4.0,2.0,0.1,10,190,53,0,52,4.0,0.0,0,0
1.0,0.1,0.0,0,20,17,0,17,2.0,90.0,0,0
0.1,0.0,0.0,0,160,36,0,36,3.0,0.0,0,0
0.2,0.1,0.0,5,260,70,0,69,6.0,0.0,0,0
0.1,0.0,0.0,0,5,0,0,0,0.3,175.0,0,0
0.1,0.0,0.0,0,10,0,0,0,1.0,330.0,0,0
4.5,3.5,0.0,5,190,47,0,45,12.0,75.0,0,0
1.5,0.2,0.0,0,40,4,0,3,3.0,75.0,0,0
0.0,0.0,0.0,0,20,70,0,65,0.0,0.0,0,0
0.2,0.1,0.0,0,190,53,0,52,4.0,0.0,0,0
3.0,1.5,0.1,15,75,23,0,23,5.0,0.0,0,0
5.0,2.5,0.1,15,160,53,7,34,20.0,15.0,0,0
7.0,3.5,0.2,20,120,37,1,32,10.0,20.0,0,0
13.0,6.0,0.0,5,290,70,1,64,16.0,150.0,0,0
1.5,0.2,0.0,0,220,58,0,56,3.0,100.0,0,0
4.0,3.0,0.0,0,250,67,2,62,5.0,110.0,0,0
0.0,0.0,0.0,0,10,35,0,33,0.0,0.0,0,0
5.0,0.5,0.0,0,120,31,1,26,9.0,150.0,0,0
0.1,0.1,0.0,0,45,16,0,16,4.0,0.0,0,0
0.3,0.2,0.0,10,200,24,0,21,15.0,150.0,0,0
2.5,1.5,0.0,5,125,43,2,34,13.0,175.0,0,0
0.2,0.1,0.0,5,85,26,0,25,7.0,25.0,0,0
0.1,0.0,0.0,0,160,20,0,19,3.0,70.0,0,0
0.2,0.1,0.0,5,85,31,0,31,7.0,75.0,0,0
7.0,3.5,0.2,30,170,19,0,17,12.0,150.0,0,0
6.0,3.0,0.2,15,260,70,0,68,6.0,0.0,0,0
